CHARACTER DISTANCE,FOOD DISTANCE,SKILL LEVEL,STEERING ACTION
335.061,360.683,30,WANDERING
335.632,360.693,30,WANDERING
336.181,360.705,30,WANDERING
338.502,360.761,30,WANDERING
339.591,360.793,30,WANDERING
341.364,360.852,30,WANDERING
342.606,360.899,30,WANDERING
344.094,360.96,30,WANDERING
345.337,361.016,30,WANDERING
346.65,361.08,30,WANDERING
347.837,361.142,30,WANDERING
349.025,361.208,30,WANDERING
350.136,361.273,30,WANDERING
351.224,361.34,30,WANDERING
352.257,361.407,30,WANDERING
353.257,361.475,30,WANDERING
354.214,361.542,30,WANDERING
355.137,361.609,30,WANDERING
356.021,361.676,30,WANDERING
356.872,361.742,30,WANDERING
357.69,361.808,30,WANDERING
358.476,361.872,30,WANDERING
359.231,361.936,30,WANDERING
359.956,361.999,30,WANDERING
360.654,362.061,30,WANDERING
361.324,362.121,30,WANDERING
361.968,362.181,30,WANDERING
362.587,362.239,30,WANDERING
363.182,362.296,30,WANDERING
363.754,362.351,30,WANDERING
364.303,362.405,30,WANDERING
366.626,362.644,30,WANDERING
367.717,362.761,30,WANDERING
369.492,362.959,30,WANDERING
370.735,363.103,30,WANDERING
370.832,363.28,30,WANDERING
371.624,363.433,30,WANDERING
371.94,363.599,30,WANDERING
372.527,363.754,30,WANDERING
372.911,363.912,30,WANDERING
373.395,364.064,30,WANDERING
372.798,364.215,30,WANDERING
372.899,364.362,30,WANDERING
372.568,364.507,30,WANDERING
372.523,364.648,30,WANDERING
372.307,364.787,30,WANDERING
372.209,364.922,30,WANDERING
372.046,365.054,30,WANDERING
371.933,365.183,30,WANDERING
371.797,365.308,30,WANDERING
371.684,365.43,30,WANDERING
371.565,365.548,30,WANDERING
371.457,365.664,30,WANDERING
370.535,365.776,30,WANDERING
370.17,365.885,30,WANDERING
369.488,365.99,30,WANDERING
369.044,366.093,30,WANDERING
368.484,366.192,30,WANDERING
368.03,366.289,30,WANDERING
369.336,366.705,30,WANDERING
369.483,366.905,30,WANDERING
370.33,367.238,30,WANDERING
370.695,367.476,30,WANDERING
371.331,367.767,30,WANDERING
371.761,368.014,30,WANDERING
372.29,368.28,30,WANDERING
372.725,368.524,30,WANDERING
373.189,368.772,30,WANDERING
373.606,369.007,30,WANDERING
373.036,369.24,30,WANDERING
373.106,369.465,30,WANDERING
372.781,369.685,30,WANDERING
372.719,369.898,30,WANDERING
372.5,370.105,30,WANDERING
372.392,370.306,30,WANDERING
372.223,370.502,30,WANDERING
372.102,370.691,30,WANDERING
371.96,370.875,30,WANDERING
371.841,371.053,30,WANDERING
371.715,371.225,30,WANDERING
371.602,371.392,30,WANDERING
370.674,371.554,30,WANDERING
370.303,371.71,30,WANDERING
369.617,371.862,30,WANDERING
369.167,372.008,30,WANDERING
368.602,372.15,30,WANDERING
368.144,372.287,30,WANDERING
369.446,372.873,30,WANDERING
369.589,373.153,30,WANDERING
370.431,373.616,30,WANDERING
370.792,373.944,30,WANDERING
371.425,374.343,30,WANDERING
371.851,374.68,30,WANDERING
372.376,375.041,30,WANDERING
372.808,375.37,30,WANDERING
373.269,375.704,30,WANDERING
373.683,376.019,30,WANDERING
373.11,376.33,30,WANDERING
373.177,376.628,30,WANDERING
372.849,376.92,30,WANDERING
372.784,377.201,30,WANDERING
372.563,377.474,30,WANDERING
372.452,377.737,30,WANDERING
372.281,377.993,30,WANDERING
372.158,378.24,30,WANDERING
372.014,378.479,30,WANDERING
371.892,378.71,30,WANDERING
371.765,378.934,30,WANDERING
371.649,379.15,30,WANDERING
371.534,379.358,30,WANDERING
370.611,379.56,30,WANDERING
370.241,379.754,30,WANDERING
369.558,379.942,30,WANDERING
369.11,380.124,30,WANDERING
368.547,380.299,30,WANDERING
368.902,381.61,30,WANDERING
368.673,382.146,30,WANDERING
368.816,383.125,30,WANDERING
368.723,383.773,30,WANDERING
368.78,384.584,30,WANDERING
368.742,385.246,30,WANDERING
368.765,385.959,30,WANDERING
368.749,386.597,30,WANDERING
368.759,387.241,30,WANDERING
368.752,387.842,30,WANDERING
368.756,388.433,30,WANDERING
367.776,388.994,30,WANDERING
367.46,389.538,30,WANDERING
366.761,390.059,30,WANDERING
366.342,390.562,30,WANDERING
365.781,391.044,30,WANDERING
365.344,391.509,30,WANDERING
364.86,391.956,30,WANDERING
364.437,392.386,30,WANDERING
364.005,392.8,30,WANDERING
363.607,393.198,30,WANDERING
363.214,393.581,30,WANDERING
362.844,393.949,30,WANDERING
361.649,394.303,30,WANDERING
361.035,394.643,30,WANDERING
360.105,394.971,30,WANDERING
359.427,395.286,30,WANDERING
358.639,395.588,30,WANDERING
358.802,397.042,30,WANDERING
358.374,397.701,30,WANDERING
358.336,398.805,30,WANDERING
358.063,399.568,30,WANDERING
357.951,400.492,30,WANDERING
357.749,401.259,30,WANDERING
357.616,402.074,30,WANDERING
357.449,402.808,30,WANDERING
357.314,403.546,30,WANDERING
357.169,404.235,30,WANDERING
357.039,404.911,30,WANDERING
355.955,405.552,30,WANDERING
355.525,406.174,30,WANDERING
354.726,406.769,30,WANDERING
354.206,407.343,30,WANDERING
353.551,407.893,30,WANDERING
353.022,408.423,30,WANDERING
352.452,408.932,30,WANDERING
351.945,409.422,30,WANDERING
351.434,409.892,30,WANDERING
350.96,410.345,30,WANDERING
350.495,410.78,30,WANDERING
350.055,411.198,30,WANDERING
348.762,411.6,30,WANDERING
348.073,411.986,30,WANDERING
347.059,412.357,30,WANDERING
346.308,412.715,30,WANDERING
345.444,413.058,30,WANDERING
345.572,414.563,30,WANDERING
345.085,415.263,30,WANDERING
345.007,416.411,30,WANDERING
344.685,417.212,30,WANDERING
344.533,418.176,30,WANDERING
344.288,418.979,30,WANDERING
344.116,419.829,30,WANDERING
343.912,420.597,30,WANDERING
343.741,421.367,30,WANDERING
343.561,422.087,30,WANDERING
343.399,422.792,30,WANDERING
342.314,423.462,30,WANDERING
